Orbital Period(Hr),Eccentricity,Transit_duration(Hr),Transist dept(ppm),Planet star radius ratio,Planet radius (Earth Radius),Orbital Semi major axis(au),inclination(degree),planet star distance over star radius,stellar effective temperature(K),Stellar radius(solar radius),Stellar mass(solar mass)
0.510804497,0,2.539,42.7,0.006638,1.58,0.014,50.65,1.277,6596,2.176,1.415
0.512407185,0,1.0579,329,0.016697,1.03,0.0104,85.27,3.65,3862,0.563,0.566
0.512581525,0,2.54719,384000,0.642973,42.41,0.0105,78.92,2.6306,4612,0.604,0.591
0.512581697,0,1.5789,259,0.01472,1.32,0.0122,83.5,2.5,5547,0.82,0.918
0.512583041,0,1.498,114,0.009823,1.07,0.0129,87.53,2.6895,6077,0.999,1.077
0.512869432,0,4.015,2310,0.318442,31.12,0.0125,19.26,1.338,5853,0.895,0.99
0.513482156,0,2.732,91.6,0.008629,0.83,0.0121,89.85,1.572,5495,0.882,0.887
0.514771509,0,1.256,43.4,0.006045,0.57,0.0124,85.94,3.134,5730,0.87,0.968
0.51554111,,0.87,,,,,,,,,
0.515552803,0,1.7869,1220,0.175099,13.96,0.0112,33.54,1.354,5068,0.73,0.698
0.515875396,0,1.21,1770,0.047936,7.22,0.0138,18.33,1.0019,7229,1.38,1.32
0.517573708,0,2.23102,87200,0.484349,37.02,0.0116,63.13,2.259,5427,0.7,0.776
0.518060209,0,1.8062,2260,0.317784,61.49,0.0118,34.34,1.528,5405,1.772,0.816
0.518071538,0,1.7865,2200,0.318862,42.1,0.0126,34.22,1.529,5876,1.209,0.999
0.51811818,0,0.3969,99,0.010742,1.09,0.0126,89.88,10.1,6240,0.929,1
0.51872711,0,1.252,714,0.229228,19.07,0.0119,36.23,1.486,5572,0.762,0.853
0.519437968,0,2.129,226,0.186382,20.48,0.013,17.3,1.227,6181,1.006,1.074
0.520222869,0,1.2216,270,0.015613,1.52,0.0125,78.64,2.852,5776,0.889,0.97
0.520227316,0,1.7939,68600,0.461655,50.41,0.0127,65.67,2.55,5780,1,1
0.52205862,0,2.0847,1380,0.283326,27.16,0.012,28.22,1.407,5359,0.878,0.847
